customer_id,second_purchase_date
CUST001,2024-06-02
CUST002,2024-05-24
CUST003,2024-05-28
CUST004,2024-02-24
CUST005,2024-03-25
CUST006,2024-03-31
CUST007,2024-03-04
CUST008,2024-05-31
CUST009,2024-07-16
CUST010,2024-04-20
CUST011,2024-02-03
CUST012,2024-03-04
CUST013,2024-06-23
CUST014,2024-08-13
CUST015,2024-06-05
CUST016,2024-03-11
CUST017,2024-02-28
CUST018,2024-04-30
CUST019,2024-02-04
CUST020,2024-05-04
CUST021,2024-03-16
CUST022,2024-08-01
CUST023,2024-09-15
CUST024,2024-05-18
CUST025,2024-02-29
CUST027,2024-04-27
CUST028,2024-07-28
CUST029,2024-03-06
CUST030,2024-01-27
CUST031,2024-06-26
CUST032,2024-05-13
CUST033,2024-04-13
CUST034,2024-03-13
CUST035,2024-06-20
CUST036,2024-06-20
CUST037,2024-06-14
CUST038,2024-03-27
CUST039,2024-02-17
CUST040,2024-03-01
CUST041,2024-06-16
CUST042,2024-05-27
CUST043,2024-04-27
CUST044,2024-07-17
CUST045,2024-02-11
CUST046,2024-02-18
CUST047,2024-05-24
CUST048,2024-06-28
CUST049,2024-04-30
CUST050,2024-02-27
CUST051,2024-04-08
CUST052,2024-05-19
CUST053,2024-03-07
CUST054,2024-05-15
CUST055,2024-02-27
CUST056,2024-05-01
CUST057,2024-05-01
CUST058,2024-07-23
CUST059,2024-03-12
CUST060,2024-03-24
CUST061,2024-03-25
CUST062,2024-02-18
CUST063,2024-04-19
CUST064,2024-07-17
CUST065,2024-05-30
CUST066,2024-06-26
CUST067,2024-03-25
CUST068,2024-04-12
CUST069,2024-01-23
CUST070,2024-04-15
CUST071,2024-04-09
CUST072,2024-02-07
CUST073,2024-05-02
CUST074,2024-10-22
CUST075,2024-06-22
CUST076,2024-02-04
CUST077,2024-05-31
CUST078,2024-05-03
CUST079,2024-05-26
CUST080,2024-05-12
CUST081,2024-04-28
CUST082,2024-05-20
CUST083,2024-02-17
CUST084,2024-05-18
CUST085,2024-05-02
CUST086,2024-03-16
CUST087,2024-06-18
CUST088,2024-04-17
CUST089,2024-02-28
CUST090,2024-03-31
CUST091,2024-01-31
CUST092,2024-05-03
CUST093,2024-04-27
CUST095,2024-01-19
CUST096,2024-03-14
CUST097,2024-04-11
CUST098,2024-01-30
CUST099,2024-06-20
CUST100,2024-05-05
CUST101,2024-01-13
CUST102,2024-06-08
CUST103,2024-02-24
CUST104,2024-01-23
CUST105,2024-03-13
CUST106,2024-04-05
CUST107,2024-10-11
CUST108,2024-05-19
CUST109,2024-03-12
CUST110,2024-02-09
CUST111,2024-03-21
CUST112,2024-03-19
CUST113,2024-03-23
CUST114,2024-03-30
CUST115,2024-02-01
CUST116,2024-03-20
CUST117,2024-07-12
CUST118,2024-05-13
CUST119,2024-03-20
CUST120,2024-08-17
CUST121,2024-01-19
CUST122,2024-03-08
CUST123,2024-05-20
CUST124,2024-04-29
CUST125,2024-06-19
CUST126,2024-04-16
CUST127,2024-03-26
CUST128,2024-07-07
CUST129,2024-05-26
CUST130,2024-06-24
CUST131,2024-03-21
CUST132,2024-06-15
CUST133,2024-03-12
CUST134,2024-04-24
CUST135,2024-03-27
CUST136,2024-05-21
CUST137,2024-02-18
CUST138,2024-04-25
CUST139,2024-04-25
CUST140,2024-04-14
CUST141,2024-04-02
CUST142,2024-05-30
CUST143,2024-04-21
CUST144,2024-03-27
CUST145,2024-04-27
CUST146,2024-01-25
CUST147,2024-03-23
CUST148,2024-07-21
CUST149,2024-01-31
CUST150,2024-02-01
CUST151,2024-04-08
CUST152,2024-06-07
CUST153,2024-06-08
CUST154,2024-05-10
CUST155,2024-06-15
CUST156,2024-06-20
CUST157,2024-02-04
CUST158,2024-06-29
CUST159,2024-04-08
CUST160,2024-03-12
CUST161,2024-04-21
CUST162,2024-03-09
CUST163,2024-04-30
CUST164,2024-06-21
CUST165,2024-03-22
CUST166,2024-05-14
CUST167,2024-02-20
CUST168,2024-05-15
CUST169,2024-03-14
CUST170,2024-02-05
CUST171,2024-06-28
CUST172,2024-03-25
CUST173,2024-03-23
CUST174,2024-02-05
CUST175,2024-05-30
CUST176,2024-05-23
CUST177,2024-03-18
CUST178,2024-07-14
CUST179,2024-02-04
CUST180,2024-05-12
CUST181,2024-02-11
CUST182,2024-04-01
CUST183,2024-06-08
CUST184,2024-04-02
CUST185,2024-03-26
CUST186,2024-02-21
CUST187,2024-05-28
CUST188,2024-05-11
CUST189,2024-02-07
CUST190,2024-06-20
CUST191,2024-04-27
CUST192,2024-01-24
CUST193,2024-06-22
CUST194,2024-04-21
CUST195,2024-04-23
CUST196,2024-06-24
CUST197,2024-05-12
CUST198,2024-02-29
CUST199,2024-04-22
CUST200,2024-02-14
